Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
Australia,England,England,2 wickets,Sydney,"Jan 14, 1980",83,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard
England,West Indies,West Indies,107 runs,Adelaide,"Jan 16, 1980",84,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/england-vs-west-indies-11th-match-65296/full-scorecard
Australia,West Indies,Australia,9 runs,Sydney,"Jan 18, 1980",85,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-west-indies-12th-match-65297/full-scorecard
England,West Indies,West Indies,2 runs,Melbourne,"Jan 20, 1980",86,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/england-vs-west-indies-1st-final-65298/full-scorecard
England,West Indies,West Indies,8 wickets,Sydney,"Jan 22, 1980",87,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/england-vs-west-indies-2nd-final-65299/full-scorecard
New Zealand,West Indies,New Zealand,1 wicket,Christchurch,"Feb 6, 1980",88,https://www.espncricinfo.com/series/west-indies-tour-of-new-zealand-1979-80-61929/new-zealand-vs-west-indies-only-odi-64172/full-scorecard
England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980",89,https://www.espncricinfo.com/series/west-indies-tour-of-england-1980-61870/england-vs-west-indies-1st-odi-64965/full-scorecard
England,West Indies,England,3 wickets,Lord's,"May 30, 1980",90,https://www.espncricinfo.com/series/west-indies-tour-of-england-1980-61870/england-vs-west-indies-2nd-odi-64966/full-scorecard
England,Australia,England,23 runs,The Oval,"Aug 20, 1980",91,https://www.espncricinfo.com/series/australia-tour-of-england-1980-61328/england-vs-australia-1st-odi-64967/full-scorecard
England,Australia,England,47 runs,Birmingham,"Aug 22, 1980",92,https://www.espncricinfo.com/series/australia-tour-of-england-1980-61328/england-vs-australia-2nd-odi-64968/full-scorecard
