Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Scorecard Link
India,Pakistan,Pakistan,77 runs,Toronto,"Sep 16, 1998",1351,https://www.espncricinfo.com/series/pakistan-tour-of-canada-1998-61518/india-vs-pakistan-3rd-odi-66043/full-scorecard
India,Pakistan,Pakistan,51 runs,Toronto,"Sep 13, 1998",1350,https://www.espncricinfo.com/series/india-tour-of-canada-1998-62345/india-vs-pakistan-2nd-odi-66042/full-scorecard
India,Pakistan,India,6 wickets,Toronto,"Sep 12, 1998",1349,https://www.espncricinfo.com/series/india-tour-of-canada-1998-62345/india-vs-pakistan-1st-odi-66041/full-scorecard
England,Sri Lanka,Sri Lanka,5 wickets,Lord's,"Aug 20, 1998",1348,https://www.espncricinfo.com/series/emirates-triangular-tournament-1998-61030/england-vs-sri-lanka-final-66161/full-scorecard
England,South Africa,South Africa,14 runs,Birmingham,"Aug 18, 1998",1347,https://www.espncricinfo.com/series/emirates-triangular-tournament-1998-61030/england-vs-south-africa-3rd-match-66160/full-scorecard
England,Sri Lanka,England,36 runs,Lord's,"Aug 16, 1998",1346,https://www.espncricinfo.com/series/emirates-triangular-tournament-1998-61030/england-vs-sri-lanka-2nd-match-66159/full-scorecard
South Africa,Sri Lanka,Sri Lanka,57 runs,Nottingham,"Aug 14, 1998",1345,https://www.espncricinfo.com/series/emirates-triangular-tournament-1998-61030/south-africa-vs-sri-lanka-1st-match-66158/full-scorecard
Sri Lanka,India,India,6 runs,Colombo (RPS),"Jul 7, 1998",1344,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/sri-lanka-vs-india-final-66157/full-scorecard
Sri Lanka,New Zealand,Sri Lanka,87 runs,Colombo (SSC),"Jul 5, 1998",1343,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/sri-lanka-vs-new-zealand-9th-match-66156/full-scorecard
India,New Zealand,no result,-,Colombo (SSC),"Jul 3, 1998",1342,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/india-vs-new-zealand-8th-match-66155/full-scorecard
Sri Lanka,India,Sri Lanka,8 runs,Colombo (SSC),"Jul 1, 1998",1341,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/sri-lanka-vs-india-7th-match-66154/full-scorecard
India,New Zealand,no result,-,Colombo (RPS),"Jun 23, 1998",1340,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/india-vs-new-zealand-3rd-match-66153/full-scorecard
Sri Lanka,New Zealand,Sri Lanka,7 wickets,Colombo (RPS),"Jun 21, 1998",1339,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/sri-lanka-vs-new-zealand-2nd-match-66152/full-scorecard
Sri Lanka,India,India,8 wickets,Colombo (RPS),"Jun 19, 1998",1338,https://www.espncricinfo.com/series/singer-akai-nidahas-trophy-1998-61029/sri-lanka-vs-india-1st-match-66151/full-scorecard
India,Kenya,India,9 wickets,Eden Gardens,"May 31, 1998",1337,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/india-vs-kenya-final-66150/full-scorecard
India,Kenya,Kenya,69 runs,Gwalior,"May 28, 1998",1336,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/india-vs-kenya-6th-match-66149/full-scorecard
India,Bangladesh,India,5 wickets,Wankhede,"May 25, 1998",1335,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/india-vs-bangladesh-5th-match-66148/full-scorecard
England,South Africa,England,7 wickets,Leeds,"May 24, 1998",1334,https://www.espncricinfo.com/series/south-africa-tour-of-england-1998-61818/england-vs-south-africa-3rd-odi-65028/full-scorecard
England,South Africa,South Africa,32 runs,Manchester,"May 23, 1998",1332,https://www.espncricinfo.com/series/south-africa-tour-of-england-1998-61818/england-vs-south-africa-2nd-odi-65027/full-scorecard
Bangladesh,Kenya,Kenya,28 runs,Chennai,"May 23, 1998",1333,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/bangladesh-vs-kenya-4th-match-66147/full-scorecard
England,South Africa,South Africa,3 wickets,The Oval,"May 21, 1998",1331,https://www.espncricinfo.com/series/south-africa-tour-of-england-1998-61818/england-vs-south-africa-1st-odi-65026/full-scorecard
India,Kenya,India,4 wickets,Bengaluru,"May 20, 1998",1330,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/india-vs-kenya-3rd-match-66146/full-scorecard
Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),"May 17, 1998",1329,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/bangladesh-vs-kenya-2nd-match-66145/full-scorecard
India,Bangladesh,India,5 wickets,Mohali,"May 14, 1998",1328,https://www.espncricinfo.com/series/coca-cola-triangular-series-1998-61027/india-vs-bangladesh-1st-match-66144/full-scorecard
Australia,India,India,6 wickets,Sharjah,"Apr 24, 1998",1327,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/australia-vs-india-final-65774/full-scorecard
South Africa,Pakistan,South Africa,9 wickets,Cape Town,"Apr 23, 1998",1326,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-pakistan-final-66088/full-scorecard
Australia,India,Australia,26 runs,Sharjah,"Apr 22, 1998",1325,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/australia-vs-india-6th-match-65773/full-scorecard
Australia,New Zealand,Australia,5 wickets,Sharjah,"Apr 21, 1998",1324,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/australia-vs-new-zealand-5th-match-65772/full-scorecard
India,New Zealand,New Zealand,4 wickets,Sharjah,"Apr 20, 1998",1323,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/india-vs-new-zealand-4th-match-65771/full-scorecard
Australia,India,Australia,58 runs,Sharjah,"Apr 19, 1998",1322,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/australia-vs-india-3rd-match-65770/full-scorecard
South Africa,Sri Lanka,South Africa,5 wickets,Bloemfontein,"Apr 19, 1998",1321,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-sri-lanka-9th-match-66087/full-scorecard
Australia,New Zealand,Australia,6 wickets,Sharjah,"Apr 18, 1998",1320,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/australia-vs-new-zealand-2nd-match-65769/full-scorecard
India,New Zealand,India,15 runs,Sharjah,"Apr 17, 1998",1319,https://www.espncricinfo.com/series/coca-cola-cup-1997-98-61026/india-vs-new-zealand-1st-match-65768/full-scorecard
South Africa,Pakistan,South Africa,7 wickets,Centurion,"Apr 17, 1998",1318,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-pakistan-8th-match-66086/full-scorecard
Pakistan,Sri Lanka,Sri Lanka,115 runs,Benoni,"Apr 15, 1998",1317,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/pakistan-vs-sri-lanka-7th-match-66085/full-scorecard
India,Australia,Australia,4 wickets,Delhi,"Apr 14, 1998",1316,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/india-vs-australia-final-66143/full-scorecard
South Africa,Sri Lanka,Sri Lanka,6 wickets,Gqeberha,"Apr 13, 1998",1315,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-sri-lanka-6th-match-66084/full-scorecard
South Africa,Pakistan,South Africa,3 wickets,East London,"Apr 11, 1998",1314,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-pakistan-5th-match-66083/full-scorecard
Australia,Zimbabwe,Australia,16 runs,Delhi,"Apr 11, 1998",1313,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/australia-vs-zimbabwe-6th-match-66142/full-scorecard
Pakistan,Sri Lanka,Pakistan,110 runs,Paarl,"Apr 9, 1998",1312,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/pakistan-vs-sri-lanka-4th-match-66082/full-scorecard
India,Zimbabwe,India,32 runs,Cuttack,"Apr 9, 1998",1311,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/india-vs-zimbabwe-5th-match-66141/full-scorecard
West Indies,England,West Indies,57 runs,Port of Spain,"Apr 8, 1998",1310,https://www.espncricinfo.com/series/england-tour-of-west-indies-1997-98-61751/west-indies-vs-england-5th-odi-64588/full-scorecard
Pakistan,Sri Lanka,Pakistan,4 wickets,Kimberley,"Apr 7, 1998",1309,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/pakistan-vs-sri-lanka-3rd-match-66081/full-scorecard
India,Australia,India,6 wickets,Kanpur,"Apr 7, 1998",1308,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/india-vs-australia-4th-match-66140/full-scorecard
West Indies,England,West Indies,4 wickets,Kingstown,"Apr 5, 1998",1307,https://www.espncricinfo.com/series/england-tour-of-west-indies-1997-98-61751/west-indies-vs-england-4th-odi-64587/full-scorecard
South Africa,Sri Lanka,South Africa,57 runs,Johannesburg,"Apr 5, 1998",1306,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-sri-lanka-2nd-match-66080/full-scorecard
India,Zimbabwe,India,13 runs,Vadodara,"Apr 5, 1998",1305,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/india-vs-zimbabwe-3rd-match-66139/full-scorecard
West Indies,England,West Indies,5 wickets,Kingstown,"Apr 4, 1998",1304,https://www.espncricinfo.com/series/england-tour-of-west-indies-1997-98-61751/west-indies-vs-england-3rd-odi-64586/full-scorecard
South Africa,Pakistan,South Africa,52 runs,Durban,"Apr 3, 1998",1303,https://www.espncricinfo.com/series/standard-bank-international-one-day-series-1997-98-61025/south-africa-vs-pakistan-1st-match-66079/full-scorecard
Australia,Zimbabwe,Australia,13 runs,Ahmedabad,"Apr 3, 1998",1302,https://www.espncricinfo.com/series/pepsi-triangular-series-1997-98-61024/australia-vs-zimbabwe-2nd-match-66138/full-scorecard
