player_name,player_id,url,team1,team2,winner,ground,margin,matchDate,matchDate2,scorecard,url2,Span,Matches,Runs,HS,Bat_Avg,100s,Wkts,BBI,Bowl_Avg,5fer,Catches,Stumping,Avg_Diff
Dennis Lillee,6295,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/6295.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1972-1980,16,92,19,18.40,0,31,5/34,20.45,1,1,0,-2.05
Julien Wiener,8224,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/8224.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,0,6,90,33,15.00,0,0,-,-,0,2,0,-
Rick McCosker,6547,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/6547.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1975-1980,10,174,73,17.40,0,-,-,-,-,3,0,-
Ian Chappell,4560,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/4560.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1971-1980,16,673,86,48.07,0,2,2/14,11.50,0,5,0,36.57
Greg Chappell,4558,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/4558.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1971-1980,23,953,125*,52.94,1,18,5/20,28.88,1,9,0,24.05
Kim Hughes,5724,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/5724.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1977-1980,16,261,52,18.64,0,-,-,-,-,5,0,-
Allan Border,4174,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/4174.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,0,12,200,44,18.18,0,4,3/36,36.75,0,3,0,-18.56
Rod Marsh,6502,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/6502.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1971-1980,22,263,52*,18.78,0,-,-,-,-,34,2,-
Geoff Dymock,4999,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/4999.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1974-1980,13,17,10,5.66,0,13,2/21,26.46,0,1,0,-20.79
Jeff Thomson,7946,https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1979-80-60807/australia-vs-england-10th-match-65295/full-scorecard,Australia,England,England,Sydney,2 wickets,14+Jan+1980,"Jan 14, 1980",83,https://stats.espncricinfo.com/ci/engine/player/7946.html?class=2;filter=advanced;orderby=default;spanmax1=14+Jan+1980;spanval1=span;template=results;type=allround,1975-1980,14,65,21,10.83,0,13,4/67,41.30,0,3,0,-30.47
