Shai Hope,581379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Justin Greaves,510823,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Nicholas Pooran,604302,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Shamarh Brooks,230555,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Roston Chase,391832,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Kieron Pollard,230559,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Jason Holder,391485,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Romario Shepherd,677077,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Odean Smith,820691,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Alzarri Joseph,670031,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
Akeal Hosein,530812,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339
