Shai Hope,581379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Justin Greaves,510823,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Nicholas Pooran,604302,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Shamarh Brooks,230555,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Roston Chase,391832,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Kieron Pollard,230559,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Jason Holder,391485,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Romario Shepherd,677077,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Odean Smith,820691,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Alzarri Joseph,670031,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
Akeal Hosein,530812,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-1st-odi-1277085/full-scorecard,West Indies,Ireland,West Indies,Kingston,24 runs,"Jan 8, 2022","Jan 8, 2022",4339,West Indies
